url	first_seen	portal	title	company	status	location
https://weworkremotely.com/remote-jobs/te-connectivity-ai-business-acceleration-manager-remote-harrisburg-pa-area	2026-07-18	weworkremotely-api	AI Business Acceleration Manager (Remote - Harrisburg, PA area)	TE Connectivity	added	Anywhere in the World		2026-07-16
https://weworkremotely.com/remote-jobs/vidalytics-ai-automation-engineer-in-house-martech-video-saas	2026-07-18	weworkremotely-api	AI Automation Engineer, In-House MarTech Video SaaS	Vidalytics	added	Anywhere in the World		2026-07-07
https://weworkremotely.com/remote-jobs/qventus-senior-lead-product-manager-agentic-ai-platform	2026-07-18	weworkremotely-api	Senior/Lead Product Manager, Agentic AI Platform	Qventus	added	Anywhere in the World		2026-06-30
https://weworkremotely.com/remote-jobs/rimini-street-forward-deployed-engineer-agentic-ai	2026-07-18	weworkremotely-api	Forward Deployed Engineer (Agentic AI)	Rimini Street	added	Anywhere in the World		2026-06-24
https://weworkremotely.com/remote-jobs/reveleer-full-stack-ai-engineer	2026-07-18	weworkremotely-api	Full Stack AI Engineer	Reveleer	added	Anywhere in the World		2026-04-02
https://weworkremotely.com/remote-jobs/tether-ai-research-engineer	2026-07-18	weworkremotely-api	AI Research Engineer	Tether	added	Anywhere in the World		2026-04-02
https://weworkremotely.com/remote-jobs/a-team-senior-independent-ai-engineer-architect	2026-07-18	weworkremotely-api	Senior Independent AI Engineer / Architect	A.Team	added	Anywhere in the World		2024-06-16
https://weworkremotely.com/remote-jobs/new-law-business-model-marketing-automation-saas-services-line-of-business-owner	2026-07-18	weworkremotely-api	Marketing Automation SaaS + Services Line of Business Owner	New Law Business Model	added	Anywhere in the World		2023-02-07
https://www.workingnomads.com/job/go/1687328/	2026-07-18	workingnomads-api	Senior AI Vertical Mini-Series Director (Full Remote - Worldwide)	EverAI Limited	added	Worldwide, North America, South America, Asia, Europe, Africa, Oceania		
https://www.workingnomads.com/job/go/1687327/	2026-07-18	workingnomads-api	Mid/Senior AI Cinematic Video Editor (Full Remote - Worldwide)	EverAI Limited	added	Worldwide, North America, South America, Asia, Europe, Africa, Oceania		
https://remotive.com/remote-jobs/artificial-intelligence/mid-senior-ai-cinematic-video-editor-2090887	2026-07-18	remotive-api	Mid/Senior AI Cinematic Video Editor	EverAI	added	Worldwide		
https://thehub.io/jobs/6a312d5eb148ffae23eaaed7	2026-07-18	thehub-api	Senior AI Engineer	Boardway	added	Remote		2026-06-16
https://jooble.org/jdp/-2991687137884381017	2026-07-19	jooble-api	AI Automation Specialist	Mark Firth Marketing LLC	added	Remote				
https://jooble.org/jdp/-3718228653610017096	2026-07-19	jooble-api	AI Automation Specialist	TOMORROW HIRE	added	Remote				
https://findwork.dev/MBj9bEM/customer-support-operations-manager-intercom-amp-fin-ai-at-vista-fulfillment-group	2026-07-19	findwork-api	Customer Support Operations Manager - Intercom &amp; Fin AI	Vista Fulfillment Group	added			2026-06-06		
https://findwork.dev/Q62V7LQ/gtm-engineer-at-hud	2026-07-19	findwork-api	GTM Engineer	hud	added			2026-04-25		
https://findwork.dev/QeqkBrQ/growth-engineer-at-athenahq	2026-07-19	findwork-api	Growth Engineer	AthenaHQ	added			2026-04-26		
https://findwork.dev/njjNpDn/operations-manager-at-hybrid85	2026-07-19	findwork-api	Operations Manager	Hybrid85	added			2026-06-27		
https://findwork.dev/MBj9NAM/founding-revops-lead-at-hyperbound	2026-07-19	findwork-api	Founding RevOps Lead	Hyperbound	added			2026-05-11		
https://findwork.dev/XWxJkqn/operations-manager-germany-at-ey	2026-07-19	findwork-api	Operations Manager (Germany)	EY	added			2026-05-22		
https://www.themuse.com/jobs/bankofamerica/avp-vp-operations-manager-data-and-reporting-operations-management	2026-07-19	themuse-api	AVP / VP - Operations Manager - Data and Reporting Operations Management	Bank of America	added	Bonifacio Global City, Philippines				
